,explanation,absolute,normalisation,similarity_func,baseline_strategy,subset_size,iterations,faithfulness_score
0,Saliency,True,True,Pearson,Mean,2,50,-0.0477428813542809
1,IntegratedGradients,True,True,Pearson,Mean,2,50,0.1026788374519377
2,FusionGrad,True,True,Pearson,Mean,2,50,-0.0283681912651261
3,Saliency,True,True,Spearman,Mean,2,50,-0.001502315211799
4,IntegratedGradients,True,True,Spearman,Mean,2,50,0.0533904990567655
5,FusionGrad,True,True,Spearman,Mean,2,50,-0.0421265649116789
6,Saliency,True,True,Pearson,Mean,2,100,0.0280721932441847
7,IntegratedGradients,True,True,Pearson,Mean,2,100,0.0341387808236126
8,FusionGrad,True,True,Pearson,Mean,2,100,-0.0033922759319437
9,Saliency,True,True,Spearman,Mean,2,100,-0.0603368908319403
10,IntegratedGradients,True,True,Spearman,Mean,2,100,-0.0331053105310531
11,FusionGrad,True,True,Spearman,Mean,2,100,0.0203270327071282
12,Saliency,True,True,Pearson,Mean,112,50,-0.0054315398760254
13,IntegratedGradients,True,True,Pearson,Mean,112,50,0.0048026542267012
14,FusionGrad,True,True,Pearson,Mean,112,50,-0.0240115254897739
15,Saliency,True,True,Spearman,Mean,112,50,-0.0182404390327559
16,IntegratedGradients,True,True,Spearman,Mean,112,50,0.0117647058823529
17,FusionGrad,True,True,Spearman,Mean,112,50,0.0289761618933287
18,Saliency,True,True,Pearson,Mean,112,100,0.019437105156666
19,IntegratedGradients,True,True,Pearson,Mean,112,100,0.0230182737220006
20,FusionGrad,True,True,Pearson,Mean,112,100,0.039188237822553
21,Saliency,True,True,Spearman,Mean,112,100,-0.0162701984484162
22,IntegratedGradients,True,True,Spearman,Mean,112,100,0.0689006043461488
23,FusionGrad,True,True,Spearman,Mean,112,100,0.0135802151643735
24,Saliency,True,True,Pearson,Mean,224,50,0.019125850713735
25,IntegratedGradients,True,True,Pearson,Mean,224,50,0.0493382232210513
26,FusionGrad,True,True,Pearson,Mean,224,50,0.0094940146510838
27,Saliency,True,True,Spearman,Mean,224,50,0.0127182301492025
28,IntegratedGradients,True,True,Spearman,Mean,224,50,-0.0327353798662322
29,FusionGrad,True,True,Spearman,Mean,224,50,0.0829566112159149
30,Saliency,True,True,Pearson,Mean,224,100,0.0132651118419462
31,IntegratedGradients,True,True,Pearson,Mean,224,100,0.0126754200097411
32,FusionGrad,True,True,Pearson,Mean,224,100,0.0093450472405863
33,Saliency,True,True,Spearman,Mean,224,100,-0.0295015215807295
34,IntegratedGradients,True,True,Spearman,Mean,224,100,0.0407612189790407
35,FusionGrad,True,True,Spearman,Mean,224,100,0.0248261969054048
36,Saliency,True,True,Pearson,Mean,1792,50,0.0325829232904042
37,IntegratedGradients,True,True,Pearson,Mean,1792,50,0.0257283375377628
38,FusionGrad,True,True,Pearson,Mean,1792,50,0.0826596881824659
39,Saliency,True,True,Spearman,Mean,1792,50,0.0991733836391699
40,IntegratedGradients,True,True,Spearman,Mean,1792,50,-0.0262253472817698
41,FusionGrad,True,True,Spearman,Mean,1792,50,0.0232069970845481
42,Saliency,True,True,Pearson,Mean,1792,100,0.0012291314770209
43,IntegratedGradients,True,True,Pearson,Mean,1792,100,-0.0084224517550405
44,FusionGrad,True,True,Pearson,Mean,1792,100,0.0478269194892054
45,Saliency,True,True,Spearman,Mean,1792,100,0.0094449444944494
46,IntegratedGradients,True,True,Spearman,Mean,1792,100,0.0186661523295186
47,FusionGrad,True,True,Spearman,Mean,1792,100,0.0199339933993399
48,Saliency,True,True,Pearson,Random,2,50,-0.0014500579835213
49,IntegratedGradients,True,True,Pearson,Random,2,50,0.0155238896196736
50,FusionGrad,True,True,Pearson,Random,2,50,0.0269485372171321
51,Saliency,True,True,Spearman,Random,2,50,0.0295729720459612
52,IntegratedGradients,True,True,Spearman,Random,2,50,0.0046715829188818
53,FusionGrad,True,True,Spearman,Random,2,50,-0.02304565830661
54,Saliency,True,True,Pearson,Random,2,100,-0.0346039510205307
55,IntegratedGradients,True,True,Pearson,Random,2,100,-0.0006660949252317
56,FusionGrad,True,True,Pearson,Random,2,100,0.0295591835628199
57,Saliency,True,True,Spearman,Random,2,100,-0.0125892589258925
58,IntegratedGradients,True,True,Spearman,Random,2,100,0.0192284942779992
59,FusionGrad,True,True,Spearman,Random,2,100,-0.0484865629420084
60,Saliency,True,True,Pearson,Random,112,50,0.0237616517646666
61,IntegratedGradients,True,True,Pearson,Random,112,50,-0.0262864484487812
62,FusionGrad,True,True,Pearson,Random,112,50,0.0040854852115952
63,Saliency,True,True,Spearman,Random,112,50,0.0276727833990739
64,IntegratedGradients,True,True,Spearman,Random,112,50,0.0459132224318298
65,FusionGrad,True,True,Spearman,Random,112,50,-0.0819207683073229
66,Saliency,True,True,Pearson,Random,112,100,-0.016378755097748
